sku_id,week_start,units_sold,revenue,avg_unit_price,promo_days,avg_discount,ad_spend,page_views,return_units,stockout_days,unique_customers,sku_name,category,subcategory,brand,launch_date,unit_cost,list_price,supplier,size,color,lifecycle_stage,target_margin,month,week,campaign_intensity,holiday_days,weekend_days,on_hand_units,on_order_units,lead_time_days,reorder_point,damaged_units,reserved_units,warehouse_zone,gross_margin,lag_1,lag_2,lag_4,lag_8,lag_13,lag_26,lag_52,rolling_4_mean,rolling_8_mean,rolling_13_std,sell_through_proxy,inventory_cover_weeks
SKU0001,2024-05-27,12.0,16810.68,1392.785,2.0,0.169,1133.5,317.0,1.0,0.0,2.0,Chairs 0001,Furniture,Chairs,BrightHome,2024-03-27,879.45,1676.04,S2-Pune,Standard,Blue,Growth,0.475,6,22,3.0,0,2,181.0,21.0,17.0,159.0,1.0,6.0,A,0.3685672950239987,34.0,34.0,34.5,34.5,33.0,31.5,40.0,34.875,35.3125,8.694973496369272,0.061855670103092786,5.77977989393853
SKU0001,2024-06-03,57.0,82677.37,1433.4928571428572,7.0,0.1447142857142857,4308.5,1207.0,0.0,0.0,7.0,Chairs 0001,Furniture,Chairs,BrightHome,2024-03-27,879.45,1676.04,S2-Pune,Standard,Blue,Growth,0.475,6,23,3.5714285714285716,0,2,134.0,21.0,17.0,159.0,1.0,5.0,B,0.3864985126240103,12.0,34.0,34.5,34.5,33.0,31.5,40.0,34.875,35.3125,8.694973496369272,0.296875,4.2789530706506245
SKU0001,2024-06-10,40.0,54112.630000000005,1355.9166666666667,6.0,0.19099999999999998,3467.0,970.0,1.0,0.0,6.0,Chairs 0001,Furniture,Chairs,BrightHome,2024-03-27,879.45,1676.04,S2-Pune,Standard,Blue,Growth,0.475,6,24,3.2857142857142856,0,2,108.0,137.0,17.0,159.0,1.0,3.0,D,0.351398193104296,57.0,12.0,34.5,34.5,33.0,31.5,40.0,34.875,35.3125,8.694973496369272,0.2684563758389262,3.4487084450019956
SKU0001,2024-06-17,45.0,63421.36,1450.0142857142857,7.0,0.13485714285714284,4109.0,1150.0,2.0,0.0,7.0,Chairs 0001,Furniture,Chairs,BrightHome,2024-03-27,879.45,1676.04,S2-Pune,Standard,Blue,Growth,0.475,6,25,3.5714285714285716,0,2,89.0,166.0,17.0,159.0,1.0,4.0,A,0.3934887341011418,40.0,57.0,34.5,34.5,33.0,31.5,40.0,34.875,35.3125,8.694973496369272,0.3333333333333333,2.8419912185664593
SKU0001,2024-06-24,44.0,62635.29,1421.5616666666667,6.0,0.15183333333333335,3680.5,1031.0,1.0,0.0,6.0,Chairs 0001,Furniture,Chairs,BrightHome,2024-03-27,879.45,1676.04,S2-Pune,Standard,Blue,Growth,0.475,6,26,3.2857142857142856,0,2,61.0,76.0,17.0,159.0,0.0,2.0,A,0.38134938453836564,45.0,40.0,12.0,34.5,33.0,31.5,40.0,38.5,35.3125,8.694973496369272,0.41509433962264153,1.5443037974683544
SKU0001,2024-07-01,53.0,76709.0,1425.8314285714284,7.0,0.14928571428571427,4466.0,1252.0,3.0,0.0,7.0,Chairs 0001,Furniture,Chairs,BrightHome,2024-03-27,879.45,1676.04,S2-Pune,Standard,Blue,Growth,0.475,7,27,3.142857142857143,0,2,22.0,201.0,17.0,159.0,1.0,2.0,B,0.38320198140032574,44.0,45.0,57.0,34.5,33.0,31.5,40.0,46.5,35.3125,8.694973496369272,0.6973684210526315,0.4631578947368421
SKU0001,2024-07-08,56.0,81571.18,1458.6342857142859,7.0,0.12971428571428573,4413.5,1237.0,1.0,0.0,7.0,Chairs 0001,Furniture,Chairs,BrightHome,2024-03-27,879.45,1676.04,S2-Pune,Standard,Blue,Growth,0.475,7,28,2.857142857142857,0,2,0.0,103.0,17.0,159.0,0.0,0.0,A,0.39707299587481054,53.0,44.0,40.0,34.5,33.0,31.5,40.0,45.5,35.3125,8.694973496369272,0.9824561403508771,0.0
SKU0001,2024-07-15,34.0,47033.03,1383.8500000000001,6.0,0.17433333333333334,3197.5,893.0,1.0,0.0,6.0,Chairs 0001,Furniture,Chairs,BrightHome,2024-03-27,879.45,1676.04,S2-Pune,Standard,Blue,Growth,0.475,7,29,2.7142857142857144,0,2,0.0,206.0,17.0,159.0,0.0,0.0,B,0.3644903710662283,56.0,53.0,45.0,34.5,33.0,31.5,40.0,49.5,35.3125,8.694973496369272,0.9714285714285714,0.0
SKU0001,2024-07-22,42.0,60205.04,1436.3657142857141,7.0,0.14300000000000002,3913.0,1094.0,3.0,0.0,7.0,Chairs 0001,Furniture,Chairs,BrightHome,2024-03-27,879.45,1676.04,S2-Pune,Standard,Blue,Growth,0.475,7,30,3.142857142857143,0,2,0.0,24.0,17.0,159.0,0.0,0.0,C,0.3877255692939322,34.0,56.0,44.0,12.0,33.0,31.5,40.0,46.75,42.625,8.694973496369272,0.9767441860465116,0.0
SKU0001,2024-07-29,41.0,55396.48,1360.4657142857143,7.0,0.1882857142857143,3909.5,1093.0,0.0,0.0,7.0,Chairs 0001,Furniture,Chairs,BrightHome,2024-03-27,879.45,1676.04,S2-Pune,Standard,Blue,Growth,0.475,8,31,3.2857142857142856,0,2,0.0,157.0,17.0,159.0,0.0,0.0,D,0.3535669508130619,42.0,34.0,53.0,57.0,33.0,31.5,40.0,46.25,46.375,8.694973496369272,0.9761904761904762,0.0
