customer_id,recency_days,frequency,monetary,units,rfm_score,segment,churn_risk,avg_discount,return_rate
CUST00001,7,6,94107.61,39,523,Potential Loyalists,0.16369744157441576,0.0795,0.0
CUST00002,16,6,78818.85,25,523,Potential Loyalists,0.17046843788437885,0.05566666666666666,0.0
CUST00003,117,6,25435.969999999998,20,121,Hibernating,0.28388598233255063,0.06983333333333333,0.045454545454545456
CUST00004,1,12,152260.75,61,555,Champions,0.08776328530428162,0.10075,0.015873015873015872
CUST00005,115,10,156409.2,72,145,At Risk,0.2382055894861651,0.13570000000000002,0.013513513513513514
CUST00006,15,8,138524.04,70,535,Potential Loyalists,0.1473938827388274,0.076,0.0
CUST00007,102,3,55510.909999999996,25,212,Hibernating,0.3036046248462485,0.09266666666666667,0.0
CUST00008,18,3,64760.72,18,412,Potential Loyalists,0.20847532595325954,0.048999999999999995,0.0
CUST00009,168,5,120961.22,47,114,Hibernating,0.35395548667486676,0.1274,0.0
CUST00010,9,7,58163.28,35,522,Potential Loyalists,0.15040115504012183,0.052714285714285714,0.0
CUST00011,7,9,41133.52,32,541,Loyal Customers,0.12121077490774908,0.031000000000000003,0.0
CUST00012,31,8,49580.2,28,431,Potential Loyalists,0.17617065395653958,0.110625,0.09375
CUST00013,102,8,130873.52,48,234,At Risk,0.24037351373513738,0.075,0.0
CUST00014,65,6,21044.57,15,221,Hibernating,0.22846386223862242,0.102,0.0
CUST00015,3,13,181699.1,76,555,Champions,0.0767406058239745,0.08661538461538461,0.02531645569620253
CUST00016,3,4,87272.02,30,513,Potential Loyalists,0.19326144321443214,0.137,0.03125
CUST00017,103,8,42315.45,34,231,At Risk,0.2477308466584666,0.108875,0.027777777777777776
CUST00018,45,8,161830.96,69,335,Need Attention,0.1807744259942599,0.06812499999999999,0.027777777777777776
CUST00019,2,9,103257.11,63,544,Champions,0.12406432396631659,0.08911111111111111,0.015384615384615385
CUST00020,64,7,125446.38,48,324,Need Attention,0.21485152931529314,0.08600000000000001,0.02
CUST00021,44,10,49237.84,36,341,Loyal Customers,0.162459911784381,0.1291,0.02631578947368421
CUST00022,156,8,42604.49,25,131,At Risk,0.29704949159491595,0.06575,0.0
